 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1901-Feb-18 00:00, , , 08 57 23.17, +23 55 16.1,    6.503,  4.810,  1.48640431820750,  5.8661164,  159.0141,/T,    8.3551,   0.5739526,  292.44075,  29.628804,         n.a.,    n.a.,
 1901-Feb-25 00:00, , , 08 51 23.85, +24 28 19.0,    6.642,  4.903,  1.51624969902443,  8.8396862,  150.7684,/T,   11.4781,   0.4731969,  290.56682,  45.543365,         n.a.,    n.a.,
 1901-Mar-04 00:00, , , 08 46 36.89, +24 52 13.1,    6.779,  4.977,  1.55736758465740, 11.4369238,  142.7520,/T,   14.3436,   0.3508752,  288.68135,  59.990608,         n.a.,    n.a.,
 1901-Mar-11 00:00, , , 08 43 16.21, +25 07 05.1,    6.914,  5.038,  1.60821800015300, 13.6562654,  135.0709,/T,   16.8820,   0.2175151,  286.22415,  72.795234,         n.a.,    n.a.,
 1901-Mar-18 00:00, , , 08 41 29.19, +25 13 23.9,    7.045,  5.085,  1.66728964190245, 15.5035380,  127.7671,/T,   19.0629,   0.0805412,  279.07877,  84.022857,         n.a.,    n.a.,
 1901-Mar-25 00:00, , , 08 41 18.29, +25 11 48.5,    7.171,  5.120,  1.73305394517290, 16.9624150,  120.8577,/T,   20.8779,   0.0586761,  122.01367,  85.855260,         n.a.,    n.a.,
 1901-Apr-01 00:00, , , 08 42 40.97, +25 03 05.1,    7.290,  5.146,  1.80393799898155, 18.0469553,  114.3404,/T,   22.3380,   0.1861308,  112.15655,  77.325313,         n.a.,    n.a.,
 1901-Apr-08 00:00, , , 08 45 30.62, +24 47 58.4,    7.400,  5.163,  1.87857443280423, 18.8293018,  108.1912,/T,   23.4683,   0.3042007,  110.29087,  69.854018,         n.a.,    n.a.,
 1901-Apr-15 00:00, , , 08 49 39.51, +24 27 01.7,    7.503,  5.172,  1.95584627813451, 19.3551103,  102.3790,/T,   24.2970,   0.4122855,  109.57659,  63.270411,         n.a.,    n.a.,
 1901-Apr-22 00:00, , , 08 54 59.95, +24 00 39.3,    7.596,  5.176,  2.03473951227294, 19.6293539,   96.8765,/T,   24.8512,   0.5106789,  109.29142,  57.385775,         n.a.,    n.a.,
